time_ms,ax,ay,az,gx,gy,gz,load_raw
1058236,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220811
1058286,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220924
1058336,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220721
1058390,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220853
1058441,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220708
1058492,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220885
1058544,1.542969,1.554688,9.414063,0.000000,0.000000,0.000000,-220786
1058595,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220801
1058650,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220808
1058703,1.542969,1.632813,9.382813,0.000000,0.000000,0.000000,-220883
1058753,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220755
1058805,1.542969,1.554688,9.386719,0.000000,0.000000,0.000000,-220722
1058855,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220744
1058906,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220747
1058956,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220784
1059006,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220856
1059056,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220720
1059106,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220790
1059160,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220763
1059213,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220765
1059263,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220664
1059315,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220747
1059365,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220696
1059418,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220742
1059473,1.542969,1.554688,9.414063,0.000000,0.000000,0.000000,-220773
1059523,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220830
1059575,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220855
1059625,1.542969,1.554688,9.414063,0.000000,0.000000,0.000000,-220839
1059678,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220656
1059733,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220818
1059783,1.503906,1.632813,9.382813,0.000000,0.000000,0.000000,-220793
1059835,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220902
1059885,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220787
1059938,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220771
1059988,1.542969,1.554688,9.453125,0.000000,0.000000,0.000000,-220809
1060042,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220735
1060094,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220845
1060144,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220810
1060197,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220804
1060247,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220855
1060301,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220754
1060354,1.503906,1.554688,9.386719,0.000000,0.000000,0.000000,-220890
1060404,1.542969,1.632813,9.417969,0.000000,0.000000,0.000000,-220832
1060456,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220890
1060506,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220735
1060558,1.542969,1.554688,9.414063,0.000000,0.000000,0.000000,-220717
1060608,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220795
1060658,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220814
1060708,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220682
1060758,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220844
1060812,1.542969,1.632813,9.382813,0.000000,0.000000,0.000000,-220772
1060862,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220786
1060914,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220785
1060964,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220787
1061014,1.542969,1.554688,9.386719,0.000000,0.000000,0.000000,-220740
1061065,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220817
1061118,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220723
1061168,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220805
1061219,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220774
1061274,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220832
1061324,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220879
1061377,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220910
1061427,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220842
1061478,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220819
1061528,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220836
1061578,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220905
1061629,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220898
1061679,1.542969,1.593750,9.417969,0.000000,0.000000,0.000000,-220903
1061733,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220720
1061784,1.503906,1.554688,9.414063,0.000000,0.000000,0.000000,-220897
1061835,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220705
1061887,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220835
1061937,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220814
1061992,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220823
1062045,1.542969,1.593750,9.382813,0.000000,0.000000,0.000000,-220794
1062095,1.503906,1.593750,9.382813,0.000000,0.000000,0.000000,-220706
1062147,1.503906,1.593750,9.417969,0.000000,0.000000,0.000000,-220833
