time_ms,ax,ay,az,gx,gy,gz,load_raw
1452861,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-220647
1452916,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-220635
1452966,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-220539
1453018,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-220620
1453068,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-220524
1453120,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-220639
1453170,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-220700
1453220,1.582031,1.785156,9.343750,0.000000,0.000000,0.000000,-220696
1453270,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-220793
1453320,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-220902
1453370,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-220747
1453420,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,-220697
1453470,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,-220710
1453525,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-220815
1453577,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-220748
1453627,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-220849
1453679,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-220696
1453729,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,-220832
1453783,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-220840
1453837,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-220786
1453887,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-220853
1453938,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-220789
1453989,1.582031,1.785156,9.417969,0.000000,0.000000,0.000000,-220735
1454041,1.503906,1.785156,9.343750,-0.027344,-0.013672,-0.001953,-220596
1454091,1.582031,1.824219,9.347656,0.025391,-0.001953,0.000000,-220655
1454141,1.582031,1.785156,9.382813,0.044922,0.011719,0.011719,-220602
