time_ms,ax,ay,az,gx,gy,gz,load_raw
115848,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220856
115901,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220840
115951,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220867
116004,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220943
116054,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220815
116107,1.160156,1.515625,9.453125,0.000000,0.000000,0.000000,-220796
116161,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220880
116211,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220875
116262,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220926
116312,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220826
116365,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220892
116420,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220804
116471,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220852
116523,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220903
116573,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220986
116625,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220810
116681,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220836
116731,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220784
116782,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220790
116832,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220815
116885,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220817
116940,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220770
116994,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220862
117044,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220957
117094,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220884
117145,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220647
117195,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220876
117250,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220830
117301,1.238281,1.593750,9.417969,0.000000,0.000000,0.000000,-220802
117352,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220850
117405,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220785
117455,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220810
