pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.007388417,125980316,3.266,-9.133,-0.539,0.002,0.000,-0.008,-222344
2.00784725,125984537,3.305,-9.133,-0.578,0.002,0.000,-0.008,-222208
2.008077458,125987758,3.305,-9.133,-0.578,0.000,0.008,0.004,-222935
2.008316708,125992978,3.305,-9.133,-0.578,-0.002,0.012,-0.002,-222315
2.008566083,125998201,3.305,-9.133,-0.578,0.002,-0.006,0.002,-222581
2.008790833,126001422,3.305,-9.133,-0.578,0.000,0.006,0.000,-221722
2.009026292,126005643,3.305,-9.133,-0.578,-0.014,-0.004,0.004,-222554
2.009257,126009864,3.305,-9.133,-0.578,0.002,0.000,0.016,-222903
2.009475042,126015085,3.266,-9.133,-0.617,0.002,0.000,0.016,-223073
2.009686833,126017306,3.266,-9.133,-0.617,0.010,-0.004,0.012,-221794
2.009897958,126022527,3.266,-9.133,-0.617,-0.004,0.004,0.010,-223105
2.010099625,126027748,3.266,-9.133,-0.617,0.000,0.000,-0.010,-222726
2.010325542,126031969,3.266,-9.133,-0.617,0.004,-0.006,-0.002,-222676
2.010552667,126038190,3.266,-9.133,-0.617,0.008,-0.004,0.002,-222976
2.010783,126042411,3.266,-9.133,-0.617,-0.008,0.004,-0.006,-223784
2.011051917,126046632,3.266,-9.133,-0.617,-0.008,0.004,-0.006,-223343
2.011275042,126048853,3.266,-9.133,-0.617,-0.010,0.000,-0.020,-222388
2.011644708,126054074,3.266,-9.133,-0.617,-0.008,-0.004,0.006,-221581
2.011871375,126059295,3.266,-9.133,-0.617,-0.002,0.006,0.012,-222925
2.012096917,126063516,3.266,-9.133,-0.617,0.004,0.002,-0.012,-222050
2.01231325,126067737,3.266,-9.133,-0.617,0.002,-0.008,0.008,-222701
2.012540792,126072958,3.266,-9.133,-0.617,-0.002,0.002,-0.008,-222682
2.01276075,126078179,3.305,-9.133,-0.578,-0.002,0.002,-0.008,-222987
2.012979583,126081400,3.305,-9.133,-0.578,-0.010,0.000,-0.010,-221550
2.013213667,126086621,3.305,-9.133,-0.578,-0.002,-0.010,-0.002,-222708
2.013425,126090842,3.305,-9.133,-0.578,0.008,0.002,0.004,-222348
2.01367,126096063,3.305,-9.133,-0.578,-0.002,0.002,-0.002,-222344
2.013892208,126100284,3.305,-9.133,-0.578,-0.010,-0.004,0.002,-222189
2.014119458,126104505,3.305,-9.133,-0.578,-0.010,0.002,0.006,-222847
2.014334333,126108726,3.266,-9.133,-0.539,-0.010,0.002,0.006,-223568
2.014560667,126110947,3.266,-9.133,-0.539,-0.006,-0.004,0.004,-223778
2.014774375,126117168,3.266,-9.133,-0.539,0.002,0.008,-0.002,-222442
2.014993542,126121389,3.266,-9.133,-0.539,-0.004,-0.006,0.004,-222522
2.01521575,126125610,3.266,-9.133,-0.539,0.010,-0.004,0.004,-222552
2.015420083,126130831,3.266,-9.133,-0.539,0.006,-0.006,0.004,-223125
2.015614375,126136052,3.266,-9.133,-0.539,0.002,-0.004,0.000,-222112
2.015795917,126140273,3.266,-9.133,-0.617,0.002,-0.004,0.000,-222546
2.015982708,126142494,3.266,-9.133,-0.617,0.000,0.008,0.002,-223852
2.016163208,126146714,3.266,-9.133,-0.617,-0.002,0.000,0.002,-222318
2.016349375,126150935,3.266,-9.133,-0.617,0.008,-0.006,0.002,-221757
2.016533542,126155156,3.266,-9.133,-0.617,-0.008,0.000,-0.002,-222782
2.0167125,126159377,3.266,-9.133,-0.617,0.004,0.002,-0.002,-223526
2.016906708,126163598,3.266,-9.133,-0.617,0.002,-0.006,-0.004,-222875
2.017091042,126168819,3.266,-9.176,-0.656,0.002,-0.006,-0.004,-222057
2.017283458,126171040,3.266,-9.176,-0.656,0.010,0.004,-0.008,-222523
2.01746625,126176261,3.266,-9.176,-0.656,0.004,0.008,0.000,-222342
2.017655042,126180481,3.266,-9.176,-0.656,-0.002,-0.008,0.002,-223047
2.017886458,126184702,3.266,-9.176,-0.656,0.006,0.004,0.000,-222342
2.018068792,126189923,3.266,-9.176,-0.656,0.000,-0.002,0.018,-222914
2.018258,126194144,3.266,-9.176,-0.656,0.004,-0.006,0.002,-222268
2.018441208,126198365,3.266,-9.133,-0.539,0.004,-0.006,0.002,-222161
2.018636542,126201586,3.266,-9.133,-0.539,-0.008,-0.006,-0.006,-223018
2.018826083,126206807,3.266,-9.133,-0.539,0.010,0.002,0.008,-222541
2.019132583,126211028,3.266,-9.133,-0.539,0.006,0.010,-0.012,-223113
2.019888042,126216249,3.266,-9.133,-0.539,-0.008,0.014,0.006,-222756
2.020073125,126220470,3.266,-9.133,-0.539,-0.002,0.004,0.002,-222119
2.020281,126224691,3.266,-9.133,-0.539,0.008,-0.004,-0.012,-222205
2.020463708,126228912,3.266,-9.133,-0.656,0.008,-0.004,-0.012,-223239
2.02065025,126231133,3.266,-9.133,-0.656,0.008,-0.008,0.002,-222749
2.020833,126236354,3.266,-9.133,-0.656,-0.006,-0.006,0.000,-221662
2.02102175,126240575,3.266,-9.133,-0.656,0.008,-0.006,-0.006,-222440
2.021206083,126243796,3.266,-9.133,-0.656,-0.002,-0.002,-0.002,-223122
2.021382125,126249017,3.266,-9.133,-0.656,-0.002,0.004,0.004,-222008
2.021533417,126254238,3.266,-9.133,-0.656,0.000,0.004,0.008,-221744
2.0216935,126258459,3.266,-9.133,-0.539,0.000,0.004,0.008,-222226
2.021847833,126260680,3.266,-9.133,-0.539,-0.006,0.006,0.004,-222621
2.0220005,126265901,3.266,-9.133,-0.539,0.004,0.002,0.000,-221292
2.022223542,126270122,3.266,-9.133,-0.539,-0.008,0.000,0.002,-222652
2.022385792,126274343,3.266,-9.133,-0.539,-0.004,0.002,0.006,-222927
2.02254925,126280564,3.266,-9.133,-0.539,0.002,0.008,0.002,-222997
2.022708042,126285785,3.266,-9.133,-0.539,-0.014,0.002,0.002,-222030
2.02287275,126289006,3.266,-9.133,-0.578,-0.014,0.002,0.002,-222972
2.023028125,126292227,3.266,-9.133,-0.578,0.010,0.012,0.006,-223037
2.023181125,126298448,3.266,-9.133,-0.578,0.012,0.006,0.010,-221657
2.023347333,126302669,3.266,-9.133,-0.578,0.002,0.000,-0.006,-221549
2.023504792,126306890,3.266,-9.133,-0.578,-0.002,0.000,0.000,-222652
2.023676542,126311111,3.266,-9.133,-0.578,0.002,-0.006,-0.010,-222270
2.0238325,126316332,3.266,-9.133,-0.578,0.010,-0.004,0.014,-222608
2.023994167,126320553,3.227,-9.172,-0.617,0.010,-0.004,0.014,-222672
2.024150167,126323774,3.227,-9.172,-0.617,-0.004,0.010,0.002,-222967
2.024310125,126328995,3.227,-9.172,-0.617,0.006,0.002,0.004,-222999
2.024469792,126334216,3.227,-9.172,-0.617,-0.010,-0.012,0.004,-221644
2.024631167,126338437,3.227,-9.172,-0.617,-0.012,0.004,-0.004,-222817
2.024796833,126342658,3.227,-9.172,-0.617,0.000,-0.012,0.006,-222503
2.024952667,126346879,3.227,-9.172,-0.617,0.008,0.002,-0.002,-222326
2.02511475,126351101,3.227,-9.137,-0.539,0.008,0.002,-0.002,-222233
2.025271417,126354322,3.227,-9.137,-0.539,0.000,0.000,0.012,-222820
2.025432625,126359542,3.227,-9.137,-0.539,0.002,0.002,0.004,-222710
2.025589708,126363763,3.227,-9.137,-0.539,0.000,-0.004,0.000,-222936
2.025742917,126367984,3.227,-9.137,-0.539,0.004,0.008,0.000,-222003
2.025915083,126372205,3.227,-9.137,-0.539,0.006,0.006,0.016,-222043
2.026073167,126377426,3.227,-9.137,-0.539,0.006,0.002,-0.018,-222799
2.026236792,126381647,3.266,-9.176,-0.617,0.006,0.002,-0.018,-222622
2.026393458,126384868,3.266,-9.176,-0.617,-0.010,0.008,0.004,-222876
2.026572125,126390089,3.266,-9.176,-0.617,0.002,-0.002,0.002,-222661
2.0267415,126394310,3.266,-9.176,-0.617,-0.004,-0.004,0.004,-222821
2.026901,126399531,3.266,-9.176,-0.617,0.000,0.010,0.000,-222460
2.027060542,126403751,3.266,-9.176,-0.617,-0.006,-0.010,0.000,-222911
2.027222333,126407972,3.266,-9.176,-0.617,-0.004,-0.004,0.018,-222536
2.027376792,126413193,3.266,-9.176,-0.617,-0.004,-0.004,0.018,-223792
2.027524333,126416414,3.266,-9.176,-0.617,0.008,0.008,0.012,-222052
2.027675958,126422635,3.266,-9.176,-0.617,-0.008,0.006,-0.004,-222800
2.027815583,126426856,3.266,-9.176,-0.617,-0.002,0.004,0.006,-223055
2.027963125,126431077,3.266,-9.176,-0.617,-0.004,-0.010,0.008,-221989
2.028102875,126436298,3.266,-9.176,-0.617,0.002,0.002,-0.008,-222020
2.028247208,126440519,3.266,-9.176,-0.617,-0.004,-0.002,-0.004,-223212
2.028417625,126444740,3.305,-9.133,-0.578,-0.004,-0.002,-0.004,-223675
2.028564667,126447961,3.305,-9.133,-0.578,-0.010,-0.006,0.010,-221490
2.028712375,126454182,3.305,-9.133,-0.578,0.000,0.008,-0.002,-221691
2.028857125,126459403,3.305,-9.133,-0.578,-0.004,0.000,0.004,-222823
2.029003833,126463624,3.305,-9.133,-0.578,-0.002,0.004,-0.006,-223138
2.029147625,126467845,3.305,-9.133,-0.578,-0.004,-0.006,-0.010,-222108
2.029293625,126472066,3.305,-9.133,-0.578,-0.002,0.004,0.000,-222294
2.029434333,126477287,3.227,-9.137,-0.617,-0.002,0.004,0.000,-222788
2.029583833,126480508,3.227,-9.137,-0.617,-0.010,0.004,-0.002,-222270
2.029727917,126485729,3.227,-9.137,-0.617,0.002,0.014,-0.002,-221401
