sample_start,frames,pc_time_s_callback,input_buffer_adc_time,current_time
0,512,0.011055459,46280.35215550789,46280.3670045
512,512,0.027501167,46280.36376546589,46280.378554875
1024,512,0.034045417,46280.37537546589,46280.390130125
1536,512,0.045690917,46280.38698542489,46280.401758041
2048,512,0.062309584,46280.398595424886,46280.413364041
2560,512,0.068879625,46280.41020538289,46280.42496275
3072,512,0.08058725,46280.42181538289,46280.436628708005
3584,512,0.097126334,46280.43342534089,46280.448197833
4096,512,0.10371,46280.44503534089,46280.459793500006
4608,512,0.12033875,46280.45664529989,46280.471422208
5120,512,0.131934709,46280.46825525789,46280.483020708
5632,512,0.138558084,46280.47986525789,46280.494631416004
6144,512,0.15516975,46280.49147521589,46280.506245041004
6656,512,0.166786375,46280.50308521589,46280.51787375
7168,512,0.173397084,46280.51469517489,46280.529470916
7680,512,0.190020584,46280.52630517489,46280.541083916
8192,512,0.200137459,46280.53791513289,46280.55270425
8704,512,0.208260167,46280.54952513289,46280.564319291
9216,512,0.22487,46280.56113509089,46280.575929916005
9728,512,0.23349425,46280.57274509089,46280.587518208005
10240,512,0.243140834,46280.58435504989,46280.599179291006
10752,512,0.259686792,46280.59596500789,46280.610747083
11264,512,0.266830292,46280.60757500789,46280.622290166
11776,512,0.277927459,46280.619184965886,46280.633974291006
12288,512,0.294475459,46280.63079496589,46280.645547750006
12800,512,0.30104825,46280.64240492489,46280.657143250006
13312,512,0.312754584,46280.65401492489,46280.668804333
13824,512,0.329292917,46280.66562488289,46280.680373166004
14336,512,0.335898417,46280.67723488289,46280.69198275
14848,512,0.347586667,46280.688844840886,46280.703638041006
15360,512,0.364141042,46280.70045484089,46280.71521725001
15872,512,0.370788959,46280.71206479989,46280.726852791006
16384,512,0.382360209,46280.723674757886,46280.738425833006
16896,512,0.399020334,46280.73528475789,46280.750085291
17408,512,0.405641209,46280.74689471589,46280.7617025
17920,512,0.422241084,46280.75850471589,46280.773296041
18432,512,0.433487584,46280.77011467489,46280.784879708
18944,512,0.440428459,46280.78172467489,46280.796506916005
19456,512,0.457037417,46280.79333463289,46280.808103875
19968,512,0.466836125,46280.80494463289,46280.819670208
20480,512,0.475244084,46280.816554590885,46280.831317166005
20992,512,0.491924,46280.82816459089,46280.84297258301
21504,512,0.500176125,46280.83976600789,46280.854542291
22016,512,0.510149334,46280.85137579989,46280.866193875
22528,512,0.526686792,46280.86298563289,46280.877751583
23040,512,0.533504334,46280.87459542489,46280.889345833006
23552,512,0.544894167,46280.88620525789,46280.900967291
24064,512,0.561575167,46280.89781504989,46280.912630166
24576,512,0.568028834,46280.90942484089,46280.924148958
25088,512,0.579740084,46280.92103467489,46280.935807333
25600,512,0.596361375,46280.93264446589,46280.947424833
26112,512,0.602913292,46280.94425425789,46280.958999791
26624,512,0.61467975,46280.95586409089,46280.97069395801
27136,512,0.631194709,46280.96747388289,46280.982255041
27648,512,0.6378025,46280.97908367489,46280.993863416006
28160,512,0.654387542,46280.99069350789,46281.005461125
28672,512,0.665966042,46281.00230329989,46281.017052541
29184,512,0.672639042,46281.01391309089,46281.028697291
29696,512,0.689253042,46281.02552292489,46281.040324333
30208,512,0.700200709,46281.03713271589,46281.051858666004
30720,512,0.707462542,46281.04874250789,46281.063524916004
31232,512,0.724073042,46281.060352340886,46281.075149083
31744,512,0.73352725,46281.07196213289,46281.086754791
32256,512,0.742304584,46281.08357663289,46281.098357791
32768,512,0.758859167,46281.09518654989,46281.109940958006
33280,512,0.766842542,46281.10679642489,46281.121510375
33792,512,0.777125834,46281.11840634089,46281.133185958
34304,512,0.793737292,46281.13001621589,46281.144796666005
34816,512,0.800210542,46281.14162613289,46281.156336416
35328,512,0.811968542,46281.15323604989,46281.168024916005
35840,512,0.828546334,46281.16484592489,46281.179619791
36352,512,0.835172709,46281.17645584089,46281.191231083
36864,512,0.846870084,46281.18806575789,46281.202896500006
37376,512,0.863395125,46281.19967563289,46281.214464916
37888,512,0.8700145,46281.211285549885,46281.226067333
38400,512,0.881583875,46281.222895424886,46281.237654333
38912,512,0.898179,46281.234505340886,46281.249260333
39424,512,0.90484075,46281.24611525789,46281.260899125
39936,512,0.9214145,46281.25772513289,46281.272493333
40448,512,0.933004209,46281.26933504989,46281.284091541005
40960,512,0.939691,46281.28094496589,46281.295743458
41472,512,0.9562915,46281.29255484089,46281.307365458
41984,512,0.966800459,46281.30416475789,46281.318958416006
42496,512,0.974519042,46281.31577463289,46281.330574458
43008,512,0.991093,46281.32738454989,46281.3421685
43520,512,1.000189,46281.33899584089,46281.353754958
44032,512,1.009313667,46281.350605757885,46281.36538075
44544,512,1.025931834,46281.36221567489,46281.376994958
45056,512,1.033510584,46281.37382559089,46281.388575625
45568,512,1.044246792,46281.38543554989,46281.400271541
46080,512,1.060769584,46281.39704546589,46281.411849666
46592,512,1.067258584,46281.40865538289,46281.423382666006
47104,512,1.079060417,46281.42026529989,46281.43508525
47616,512,1.09554175,46281.43187521589,46281.446631625004
48128,512,1.102151375,46281.44348513289,46281.458222125
48640,512,1.113867709,46281.45509509089,46281.469913
49152,512,1.130377292,46281.466705007886,46281.481469125
49664,512,1.1370635,46281.47831492489,46281.493107375005
50176,512,1.14873225,46281.48992484089,46281.504746291
50688,512,1.165219125,46281.50153475789,46281.516307583006
51200,512,1.171883,46281.513144674886,46281.527938041
51712,512,1.188446084,46281.524754590886,46281.539528541005
52224,512,1.200099584,46281.53636454989,46281.551178166
52736,512,1.206781042,46281.54797446589,46281.562809958006
53248,512,1.21835725,46281.559584382885,46281.57439925
53760,512,1.233508334,46281.57119429989,46281.58595025
54272,512,1.241608084,46281.58280421589,46281.597648333
54784,512,1.258105542,46281.59441092489,46281.609188208
55296,512,1.266843459,46281.60602075789,46281.620748958005
55808,512,1.276361834,46281.617630632885,46281.632418416004
56320,512,1.292966417,46281.629240507886,46281.644038791004
56832,512,1.300187417,46281.640850382886,46281.65561208301
57344,512,1.311257917,46281.65246025789,46281.66728783301
57856,512,1.327751042,46281.66407013289,46281.678838708
58368,512,1.334358084,46281.67568000789,46281.69042725
58880,512,1.346025459,46281.68728988289,46281.702074833
59392,512,1.362553875,46281.69889975789,46281.713645583004
